Город;Описание;Картинка;Голосов;Ссылка
ВОЛГОГРАД;МОУ СШ N103 СОВЕТСКОГО РАЙОНА ВОЛГОГРАДА, Г.ВОЛГОГРАД, ПР-Т УНИВЕРСИТЕТСКИЙ, 88 ТУАЛЕТ ДЛЯ ДЕВОЧЕК: СТАРАЯ, ОБШАРПАННАЯ ПЛИТКА, УНИТАЗЫ УСТАНОВЛЕНЫ НА ПОДИУМЕ, КАБИНКИ УСТАНОВЛЕНЫ ТАКИМ ОБРАЗОМ, ЧТО ПРИ ИСПОЛЬЗОВАНИИ УНИТАЗА НЕ ВОЗМОЖНО ЗАКРЫТЬ ДВЕРЬ.;https://www.promonado.ru/domestos-schools/thumb/29BA450C-2506-42C7-90B5-2FB58CDE74B3.jpg;584;https://www.promonado.ru/domestos-schools/?voteid=818
БОРОВИЧИ;174409 НОВГОРОДСКАЯ ОБЛАСТЬ Г.БОРОВИЧИ УЛ ШКОЛЬНЫЙ БУЛЬВАР Д.10 МАОУ СОШ №4 ШКОЛЬНЫЙ ТУАЛЕТ ДЛЯ УЧАЩИХСЯ 1-11 КЛАССОВ;https://www.promonado.ru/domestos-schools/thumb/914E5070-0738-4C98-88DD-FB52D6234450.jpg;47;https://www.promonado.ru/domestos-schools/?voteid=819
Д.ГОРКИ;152010 ЯРОСЛАВСКАЯ ОБЛАСТЬ ПЕРЕСЛАВСКИЙ РАЙОН Д.ГОРКИ УЛ.ЦЕНТРАЛЬНАЯ Д.1 МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРКИНСКАЯ ОСНОВНАЯ ШКОЛА ТУАЛЕТ ЖЕНСКИЙ НАХОДИТСЯ НА ВТОРОМ ЭТАЖЕ ШКОЛЫ И ТРЕБУЕТ ХОРОШЕГО РЕМОНТА.НЕОБХОДИМА ЗАМЕНА ОКНА,ПЛИТКИ, ДВЕРЕЙ.;https://www.promonado.ru/domestos-schools/thumb/992F55A1-78B3-4F4D-9B94-DD075C314B51.jpg;6;https://www.promonado.ru/domestos-schools/?voteid=820
УЛЬЯНОВСКАЯ ОБЛ, БАРЫШСКИЙ Р-Н. РП СТАРОТИМОШКИНО;РП. СТАРОТИМОШКИНО НОВЫЙ САНУЗЕЛ;https://www.promonado.ru/domestos-schools/thumb/8F53AE3F-A559-428B-A2C7-795391B2A11E.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=823
ИЖЕВСК;МБОУ СОШ 85 УЛ ОРУЖЕЙНИКА ДРАГУНОВА Д.74 ТУАЛЕТ В СТИЛЕ ФИЛЬМА УЖАСОВ, ДЕТИ СТАРАЮТСЯ ОБХОДИТЬ СТОРОНОЙ ;https://www.promonado.ru/domestos-schools/thumb/ADDEB23B-8096-4D96-BE13-711F26713CCC.jpg;349;https://www.promonado.ru/domestos-schools/?voteid=824
;МБОУ СРЕДНЯЯ ШКОЛА № 3. Г. ЗАВОЛЖЬЕ, УЛ. ПИРОГОВА, 10 ТРЕБУЕТСЯ РЕМОНТ ДЛЯ УДОБСТВА ДЕТЕЙ;https://www.promonado.ru/domestos-schools/thumb/9CD9C8E2-FD4A-4022-AB67-6CA247A83276.jpg;15;https://www.promonado.ru/domestos-schools/?voteid=825
ИЖЕВСК;ДРАГУНОВА 74 СОШ 85 ТУАЛЕТ ХОТИМ ДЛЯ ДЕТЕЙ НОВЫЙ;https://www.promonado.ru/domestos-schools/thumb/EEF5CB51-B4BE-4CEC-9527-8E89F6EE2A1F.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=832
ИЖЕВСК;МБОУ СОШ 85, УЛ. ОРУЖЕЙНИКА ДРАГУНОВА, 74 РЖАВЫЕ ТРУБЫ, СТАРАЯ САНТЕХНИКА, ОТСУТСТВИЕ ЗАЩЁЛОК НА ДВЕРЯХ;https://www.promonado.ru/domestos-schools/thumb/B8980EA7-9A76-48CD-BF94-A88FEE0493BF.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=833
ИЖЕВСК;МБОУ СОШ 85, УЛ. ОРУЖЕЙНИКА ДРАГУНОВА, 74 ТУАЛЕТ В УЖАСНОМ СОСТОЯНИИ.;https://www.promonado.ru/domestos-schools/thumb/CA1C542C-9BA9-4C92-8152-7F09880889C7.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=834
ИЖЕВСК;МБОУ СОШ 85 РЕМОНТ ШКОЛЬНОГО ТУАЛЕТА;https://www.promonado.ru/domestos-schools/thumb/189A50FD-DADB-4DC8-939D-46958C25B201.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=835
ВОЛГОГРАД;ПР-КТ. УНИВЕРСИТЕТСКИЙ,88. МОУ СШ 103 ТУАЛЕТ ДЛЯ ДЕВОЧЕК: СТАРАЯ ОБШАРПАННАЯ ПЛИТКА, УНИТАЗЫ УСТАНОВЛЕНЫ НА ПОДИУМЕ, КАБИНКИ УСТАНОВЛЕНЫ ТАКИМ ОБРАЗОМ, ЧТО ПРИ ИСПОЛЬЗОВАНИИ УНИТАЗА НЕ ВОЗМОЖНО ЗАКРЫТЬ ДВЕРЬ!;https://www.promonado.ru/domestos-schools/thumb/DC99FB8D-107F-409A-A47D-C9408A78B987.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=837
ГУСЬ-ХРУСТАЛЬНЫЙ;ГУСЬ-ХРУСТАЛЬНЫЙ,УЛИЦА МЕНДЕЛЕЕВА,Д.20,МДОУ СОШ 1 ОЧЕНЬ СТАРЫЕ И СТРАШНЫЕ ТУАЛЕТЫ;https://www.promonado.ru/domestos-schools/thumb/B218F74F-FFDF-42E8-9FDD-657B347E47A8.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=840
КРАСНОЯРСК;МБОУ СШ 27 - КРАСНОЯРСК , УЛ.КОНСТИТУЦИИ СССР, 19 РОДИТЕЛЬСКОЙ ОБЩЕСТВЕННОСТЬЮ ПРОВОДИТСЯ РЕГУЛЯРНЫЙ КОСМЕТИЧЕСКИЙ РЕМОНТ , НО НА КАПИТАЛЬНЫЙ НЕТ ФИНАНСОВОЙ ВОЗМОЖНОСТИ. В БЮДЖЕТЕ ШКОЛЫ В БЛИЖАЙШЕЕ ВРЕМЯ ТОЖЕ НЕ СРЕДСТВ НА ЗАМЕНУ . ;https://www.promonado.ru/domestos-schools/thumb/D91BCA78-E5DB-4C6E-9D11-6DFA233B353C.jpg;67;https://www.promonado.ru/domestos-schools/?voteid=844
;УЛ. СКВЕР ДРАГУНОВА 74 ЗДРАВСТВУЙТЕ! ВЫ ОГРОМНЫЕ МОЛОДЦЫ ЧТО ВЗЯЛИСЬ ЗА ЭТО ДЕЛО. ЕЩЁ В МОИ ШКОЛЬНЫЕ ГОДЫ, А МНЕ СЕЙЧАС 30 ЛЕТ С/У НУЖДАЛИСЬ В РЕМОНТЕ. УСПЕХОВ!;https://www.promonado.ru/domestos-schools/thumb/1F5C67AB-0BB6-4263-8890-E0AB60C6BAD0.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=845
АНАПА;КРАСНОДАРСКИЙ КРАЙ, АНАПСКИЙ РАЙОН, С.СУПСЕХ, ПЕР.ПАРКОВЫЙ 20 МБОУСОШ11 ИМ С.М.ЖОЛОБА ЗАМЕЧАТЕЛЬНАЯ, БОЛЬШАЯ ШКОЛА В ЗЕЛЁНОМ УГОЛКЕ.В НАШЕЙ ШКОЛЕ С КАЖДЫМ ГОДОМ ДЕТИШЕК ВСЕ БОЛЬШЕ И БОЛЬШЕ И КОНЕЧНО ШКОЛЬНАЯ ИНФРАСТРУКТУРА НЕ СПРАВЛЯЕТСЯ, СРОЧНО НУЖЕН РЕМОНТ ТУАЛЕТА В НАЧАЛЬНОЙ ШКОЛЕ И КОНЕЧНО ПОБЕДИТЕЛЬ ЗАПАХА И МИКРОБОВ ДОНЕСТОС.ОЧЕНЬ ХОЧЕТСЯ ЧТОБЫ ДЕТОК В ШКОЛЕ ОКРУЖАЛИ ЧИСТОТА И ПОРЯДОК!;https://www.promonado.ru/domestos-schools/thumb/0E34E74C-9DB8-4F22-A530-30DF48976730.jpg;133;https://www.promonado.ru/domestos-schools/?voteid=846
АНАПА;СУПСЕХ, ПАРКОВЫЙ ПЕР., 20 МБОУ СОШ 11 Я, КАК РОДИТЕЛЬ УЧАЩЕГОСЯ ШКОЛЫ ОЧЕНЬ ХОЧУ , ЧТОБЫ НАХОЖДЕНИЕ РЕБЁНКА В ШКОЛЕ БЫЛО МАКСИМАЛЬНО БЕЗОПАСНЫМ. С ДОМЕСТОС МЫ СМОЖЕМ ПОБЕДИТЬ МИКРОБЫ И ПОДАРИТЬ ЧИСТОТУ НАШИМ ШКОЛЬНЫМ ТУАЛЕТАМ.;https://www.promonado.ru/domestos-schools/thumb/84129C40-B684-4181-967F-5BA386DCB89E.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=847
СТ. ТРОИЦКАЯ;КРАСНОДАРСКИЙ КРАЙ, КРЫМСКИЙ РАЙОН, СТ. ТРОИЦКАЯ, УЛ. ПАРТИЗАНСКАЯ 96 А ТУАЛЕТ РАСПОЛОЖЕН НА ПЕРВОМ ЭТАЖЕ СЕЛЬСКОЙ ШКОЛЫ. НЕТ ВЫТЯЖКИ, ВЕНТИЛЯЦИОННЫХ ОТДУШИН, САНТЕХНИКА СТАРАЯ, ТУАЛЕТУ УЖЕ 12 ЛЕТ. КАБИНКИ НЕ ОБОРУДОВАНЫ ДВЕРЯМИ.;https://www.promonado.ru/domestos-schools/thumb/6A20A594-6AD2-4431-B03D-487D47BC1515.jpg;15;https://www.promonado.ru/domestos-schools/?voteid=848
БЕЛОРЕЦК;БАШКОРТОСТАН, ГОРОД БЕЛОРЕЦК, УЛИЦА МИЧУРИНА ДОМ 2, ГБОУ РЦДО ДЛЯ ДЕТЕЙ-ИНВАЛИДОВ ЧТОБЫ РЕБЁНКУ-ИНВАЛИДУ СХОДИТЬ В ТУАЛЕТ, НУЖНО ПРОЙТИ НАСТОЯЩИЙ КВЕСТ: ТУАЛЕТ НЕ ПРИСПОСОБЛЕН ДЛЯ ДЕТЕЙ-ИНВАЛИДОВ. НЕ ОБОРУДОВАН СПЕЦИАЛЬНОЙ УДОБНОЙ САНТЕХНИКОЙ, ПОРУЧНЯМИ, ДЕРЖАТЕЛЯМИ И ТАКТИЛЬНЫМИ УКАЗАТЕЛЯМИ. ТАКЖЕ ТУАЛЕТ НЕ ОСНАЩЁН СПЕЦИАЛЬНОЙ КНОПКОЙ ВЫЗОВА ПОМОЩИ С ПЕРСОНАЛОМ, В СЛУЧАЕ ВОЗНИКНОВЕНИЯ ЭКСТРЕННОЙ СИТУАЦИИ. ;https://www.promonado.ru/domestos-schools/thumb/8F31E72F-C428-4D31-9AA8-BCE4793F0D8E.jpg;12;https://www.promonado.ru/domestos-schools/?voteid=850
ГУСЬ-ХРУСТАЛЬНЫЙ;УЛИЦА МЕНДЕЛЕЕВА, ДОМ 21, МДОУ СОШ 1 СТАРЫЕ ТУАЛЕТЫ,НЕ КАК В СОВРЕМЕННЫХ ШКОЛАХ,А КАК В ТЮРМЕ И ТО ТАМ НАВЕРНО ЛУЧШЕ;https://www.promonado.ru/domestos-schools/thumb/08018757-91D7-4A96-BFDE-4B81209E0705.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=851
;Г.БАРНАУЛ УЛ.А.ПЕТРОВА, САНУЗЛЫ ШКОЛЫ В ПЛАЧЕВНОМ СОСТОЯНИИ, ПОМОГИТЕ ПРИВЕСТИ ИХ В ПОРЯДОК!;https://www.promonado.ru/domestos-schools/thumb/15DB60E9-4DE4-4BBA-A4F4-6781DF12D423.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=852
НЕФТЕКАМСК;СОЦЕОЛИСТИЧЕСКАЯ 54 НОВЫЕ ТУАЛЕТЫ;https://www.promonado.ru/domestos-schools/thumb/012E3B79-519B-424A-B194-2396AD829153.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=854
НЕФТЕКАМСК;УЛ СОЦИАЛИСТИЧЕСКАЯ 54 МОАУ СОШ 6 КАПИТАЛЬНЫЙ РЕМОНТ САН УЗЛОВ;https://www.promonado.ru/domestos-schools/thumb/F1B0A847-2E41-4F7C-A1E3-AFB21A9C93D2.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=856
АНАПА;КРАСНОДАРСКИЙ КРАЙ, АНАПСКИЙ РАЙОН, СЕЛО СУПСЕХ, ПЕР.ПАРКОВЫЙ 20 НАШЕМУ ТУАЛЕТУ СРОЧНО НУЖЕН РЕМОНТ!;https://www.promonado.ru/domestos-schools/thumb/3582BE59-7547-4EFB-B889-F8CB5E889D52.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=860
;Г.БАРНАУЛ УЛ.А.ПЕТРОВА, ПОМОГИТЕ СДЕЛАТЬ САНУЗЕЛ, РАЗБИТЫЙ КАФЕЛЬ, СТАРЫЕ УНИТАЗЫ;https://www.promonado.ru/domestos-schools/thumb/74A98CA1-21AE-401D-8271-45E8DCEB4D1E.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=861
ФОКИНО;ПРИМОРСКИЙ КРАЙ Г. ФОКИНО МБОУ ООШ 257 ГО ЗАТО ФОКИНО У НАС МАЛЕНЬКАЯ, НО УЮТНАЯ ШКОЛА. НАХОДИТСЯ НА ТЕРРИТОРИИ ВОЕННОГО ГОРОДКА. ОЧЕНЬ БЫ ХОТЕЛОСЬ ПОБЕДИТЬ В ЭТОМ КОНКУРСЕ.;https://www.promonado.ru/domestos-schools/thumb/2914A245-BA53-4BB4-BD2E-A94EAB6D4140.jpg;2;https://www.promonado.ru/domestos-schools/?voteid=862
ГУСЬ-ХРУСТАЛЬНЫЙ;УЛ. МЕНДЕЛЕЕВА Д. 20 ШКОЛА 1 РЕМОНТ;https://www.promonado.ru/domestos-schools/thumb/E698625A-04CB-4428-AE8C-23FE374BD1CF.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=863
ГУСЬ-ХРУСТАЛЬНЫЙ;УЛИЦА МЕНДЕЛЕЕВА,ДОМ 20 МДОУ СОШ 1 НУЖЕН СРОЧНЫЙ РЕМОНТ;https://www.promonado.ru/domestos-schools/thumb/231C2B82-FA4A-424F-82E9-41ED5371AB14.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=864
СУПСЕХ;КРАСНОДАРСКИЙ КРАЙ, С. СУПСЕХ, ПЕР. ПАРКОВЫЙ 20,МБДОУ №11 ШКОЛА НУЖДАЕТСЯ В ОБНОВЛЕНИИ САНУЗЛОВ;https://www.promonado.ru/domestos-schools/thumb/73FA9CF4-CC04-41B3-ADDD-C0AE00B1469A.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=865
ГУСЬ-ХРУСТАЛЬНЫЙ;МЕНДЕЛЕЕВА,20 МДОУ СОШ1 СРОЧНО НУЖЕН РЕМОНТ;https://www.promonado.ru/domestos-schools/thumb/87CBF70F-D51D-4927-9FB8-B5184510064A.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=866
ГУСЬ-ХРУСТАЛЬНЫЙ;МЕНДЕЛЕЕВА Д. 20 ШКОЛА 1 ТУАЛЕТЫ УЖАСНЫЕ, ПРОШЛЫЙ ВЕК;https://www.promonado.ru/domestos-schools/thumb/849CD85C-7C91-488B-8BB4-E1CF02E3CB61.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=867
АНАПА;ПЕР. ПАРКОВЫЙ, 20, СУ-ПСЕХ, КРАСНОДАРСКИЙ КРАЙ, 353411 ПОЖАЛУЙСТА, ГРЯЗНЮЧИЙ У НАС В ШКОЛЕ ТУАЛЕТ!!!!;https://www.promonado.ru/domestos-schools/thumb/22D70EF5-2F7C-4C2C-B8A9-7847D363C796.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=868
ГУСЬ-ХРУСТАЛЬНЫЙ;МБОУ «СОШ № 1», УЛИЦА МЕНДЕЛЕЕВА, ВСЕ ОЧЕНЬ ПЕЧАЛЬНО. ДЕТИ ОТПРАШИВАЮТСЯ ДОМОЙ, ЕСЛИ НУЖНО ПОСЕТИТЬ ТУАЛЕТ. ;https://www.promonado.ru/domestos-schools/thumb/EF512959-FED4-4153-A8FB-A260D8B9D382.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=869
;УЛ МЕНДЕЛЕЕВА 20 ,МБОУ СОШ 1 ТУАЛЕТЫ В ПЛОХОМ СОСТОЯНИИ.;https://www.promonado.ru/domestos-schools/thumb/82691EB4-4131-4866-AA19-FD3DD0535832.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=870
НОВОСИБИРСК;МБОУ СОШ 56 УЖАС;https://www.promonado.ru/domestos-schools/thumb/8A3B2A7B-EE38-49EF-8237-F888E4809EED.jpg;12;https://www.promonado.ru/domestos-schools/?voteid=871
ГУСЬ-ХРУСТАЛЬНЫЙ;ШКОЛА 1 НУЖЕН СРОЧНО РЕМОНТ ;https://www.promonado.ru/domestos-schools/thumb/91901BC0-23D7-450D-838B-59A4A939BEAD.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=873
АНАПА;КРАСНОДАРСКИЙ КРАЙ, Г-К АНАПА С СУПСЕХ ПЕР ПАРКОВЫЙ 20 МБОУ СОШ #11 В ПЛАЧЕВНОМ СОСТОЯНИИ;https://www.promonado.ru/domestos-schools/thumb/36174596-EE4E-417E-99AE-59A2BE52F2CE.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=874
ГУСЬ ХРУСТАЛЬНЫЙ;ШКОЛА 1 ШКОЛА 1 ГУСЬ-ХРУСТАЛЬНЫЙ, ШКОЛЬНЫЕ ТУАЛЕТЫ;https://www.promonado.ru/domestos-schools/thumb/2862DC0A-F235-44A8-8C33-F0333C6F4FAB.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=876
СЛАВЯНСК НА КУБАНИ;КРАСНОДАРСКИЙ КРАЙ, СЛАВЯНСКИЙ РАЙОН, ПОСЁЛОК СОВХОЗНЫЙ, УЛИЦА ПОЛЕВАЯ, Д.1 МБОУ СОШ №6 В ШКОЛЕ ЕСТЬ ТУАЛЕТЫ ДЛЯ ДЕТЕЙ, НО ОНИ УЖЕ НЕ ОТВЕЧАЮТ СОВРЕМЕННЫМ ТРЕБОВАНИЯМ. А ДЛЯ УЧИТЕЛЕЙ СОВСЕМ НИКАКИХ УСЛОВИЙ. ХОТЕЛОСЬ БЫ НОРМАЛЬНЫЙ СОВРЕМЕННЫЙ ТУАЛЕТ ДЛЯ УЧИТЕЛЕЙ, ВЕДЬ НЕКОТОРЫЕ РАБОТАЮТ ВЕСЬ ДЕНЬ, ДО ПОЗДНЕГО ВЕЧЕРА.;https://www.promonado.ru/domestos-schools/thumb/9A7FFB5F-5C01-481F-9EA8-9C6F3C3975FB.jpg;11;https://www.promonado.ru/domestos-schools/?voteid=881
ПЯТИГОРСК;НЕЖНОВА 36, ШКОЛА 30 ВСЕ ТРЕБУЕТ РЕМОНТА;https://www.promonado.ru/domestos-schools/thumb/8A3F24BA-E7F8-43D1-A0C6-F196D611BF85.jpg;2;https://www.promonado.ru/domestos-schools/?voteid=882
С. ВОРОНИХА;АЛТАЙСКИЙ КРАЙ РЕБРИХИНСКИЙ РАЙОН РЕМОНТА НЕ БЫЛО С 1967 ГОДА, С МОМЕНТА ОТКРЫТИЯ ШКОЛЫ.;https://www.promonado.ru/domestos-schools/thumb/D59E4E14-1320-4E02-9B54-D27C20F2A998.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=883
ВОЛГОГРАД;Г. ВОЛГОГРАД, УЛ. ИМ. К. СИМОНОВА 20 А, МОУ "ГИМНАЗИЯ 11 ДЗЕРЖИНСКОГО РАЙОНА ВОЛГОГРАДА" СОСТОЯНИЕ ТУАЛЕТА ДЕВОЧЕК В НАЧАЛЬНОМ БЛОКЕ ПРЕДСТАВЛЯЕТ СОБОЙ НЕУТЕШИТЕЛЬНОЕ ЗРЕЛИЩЕ. УНИТАЗЫ ЧАСТИЧНО НЕ РАБОТАЮТ, ДВЕРИ В КАБИНКИ РАЗБИТЫ;https://www.promonado.ru/domestos-schools/thumb/62396B15-1FEC-44AD-82A3-35344CE15A6E.jpg;3;https://www.promonado.ru/domestos-schools/?voteid=890
ГУБКИНСКИЙ;МАОУ "СОШ №4", МКР. 9, ДОМ 67 НАША ШКОЛА ОСНОВАНА В 1988 ГОДУ. С ТЕХ ПОР, КРОМЕ МЕЛКИХ РЕМОНТОВ, НИКАКИХ ОСНОВАТЕЛЬНЫХ РАБОТ ПО МОДЕРНИЗАЦИИ ШКОЛЬНЫХ УБОРНЫХ НЕ ПРОВОДИЛОСЬ. ГОРОДСКОЙ И ОКРУЖНОЙ БЮДЖЕТЫ СООТВЕТСТВУЮЩЕЕ ФИНАНСИРОВАНИЕ НЕ ПРЕДОСТАВЛЯЮТ.;https://www.promonado.ru/domestos-schools/thumb/886C201B-1EFF-4BA6-8537-9A5F8C6CC21D.jpg;65;https://www.promonado.ru/domestos-schools/?voteid=891
ПУТИНО;"ПУТИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА, МБОУ" ТРАКТОВАЯ УЛ., 14, С. ПУТИНО, ПЕРМСКИЙ КРАЙ, 617106 ВОТ ТАКОЙ ШКОЛЬНЫЙ ТУАЛЕТ У НАС... УЖАС!;https://www.promonado.ru/domestos-schools/thumb/A3FECCAF-0589-4F32-8EE7-1D48B6064436.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=892
ПУТИНО;"ПУТИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА, МБОУ" ТРАКТОВАЯ УЛ., 14, С. ПУТИНО, ПЕРМСКИЙ КРАЙ, 617106 ВОТ ТАКОЙ У НАС ТУАЛЕТ В ШКОЛЕ! ПОЖАЛУЙСТА, ПОМОГИТЕ НАМ НОРМАЛЬНО ХОДИТЬ В ТУАЛЕТ!;https://www.promonado.ru/domestos-schools/thumb/A3FECCAF-0589-4F32-8EE7-1D48B6064436.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=893
ОМСК;СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №6 ФОТОГРАФИЯ СДЕЛАНА В 2019-ОМ ГОДУ;https://www.promonado.ru/domestos-schools/thumb/10F30552-7295-4E2F-B3C1-5250F9DB7C3B.jpg;45;https://www.promonado.ru/domestos-schools/?voteid=896
ЕКАТЕРИНБУРГ;СВЕРДЛОВСКАЯ ОБЛАСТЬ,Г.ЕКАТЕРИНБУРГ.УЛ.БЕЛОРЕЧЕНСКАЯ,Д.25. ШКОЛА #57 ТУАЛЕТ В УЖАСНОМ СОСТОЯНИИ.ПОМИМО ТОГО,ЧТО НЕТ ДВЕРЕЙ,А ИМЕЮТСЯ ТОЛЬКО ПЕРЕГОРОДКИ МЕЖДУ УНИТАЗАМИ(ПЕРЕГОРОДКИ ВЫСОТОЙ ВСЕГО 1 М-СООТВЕТСТВЕННО,НЕТ НИКАКОЙ ВОЗМОЖНОСТИ УЕДИНИТЬСЯ).САНИТАРНОЕ СОСТОЯНИИ ТАКЖЕ ОСТАВЛЯЕТ ЖЕЛАТЬ ЛУЧШЕГО.УБОРЩИЦЫ ЭТО "ВЕЛИКОЛЕПИЕ" ПРОСТО ФИЗИЧЕСКИ НЕ МОГУТ ПРИВЕСТИ В НАДЛЕЖАЩИЙ ВИД.;https://www.promonado.ru/domestos-schools/thumb/64BF9D19-82D1-41F3-A40C-8A5079D96909.jpg;28;https://www.promonado.ru/domestos-schools/?voteid=899
ПОСЕЛОК ГОРОДСКОГО ТИПА ГЛАЗГО;КРОТОВСКАЯ 34, ШКОЛА 73 ПОМОГИТЕ(;https://www.promonado.ru/domestos-schools/thumb/21B099DC-CB88-47C2-A71C-4C7DB78B80F2.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=902
ЯРОСЛАВЛЬ;ЯРОСЛАВЛЬ, БЛЮХЕРА 74 СРЕДНЯЯ ШКОЛА #26 УЖАСНОЕ СОСТОЯНИЕ ТУАЛЕТОВ , ШКОЛА #26 ГОРОД ЯРОСЛАВЛЬ ПО УЛИЦЕ БЛЮХЕРА 74. ПОМОГИТЕ ПОЖАЛУЙСТА;https://www.promonado.ru/domestos-schools/thumb/5B170923-EC81-4956-A2E6-7A1566441CE6.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=903
ЯРОСЛАВЛЬ;ЯРОСЛАВЛЬ, БЛЮХЕРА 74 СРЕДНЯЯ ШКОЛА #26 УЖАСНОЕ СОСТОЯНИЕ ТУАЛЕТОВ, ДЕТИ НЕ ХОТЯТ ХОДИТЬ ТУДА. ВАШИ ГОЛОСА ПОМОГУТ СВЕРШИТЬ МЕЧТУ ДЕТОК ЯРОСЛАВЛЬ БЛЮХЕРА 74;https://www.promonado.ru/domestos-schools/thumb/5B170923-EC81-4956-A2E6-7A1566441CE6.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=904
ОМСК;ОМСК ШКОЛА СОШ #2 В СТАРОМ КОРПУСЕ ШКОЛЫ ОСТАЛИСЬ СТАРЫЕ ТУАЛЕТЫ, МЫ ОЧЕНЬ НАДЕЕМСЯ НА ТО ЧТО НАША МЕЧТА ОСУЩЕСТВИТСЯ И ДЕТИ БУДУТ СЧАСТЛИВЫ;https://www.promonado.ru/domestos-schools/thumb/722FAF9D-9C3C-4AE0-987B-1C96947BC804.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=905
ОМСК;ОМСК ШКОЛА СОШ #2 В СТАРОМ КОРПУСЕ ШКОЛЫ ОСТАЛИСЬ СТАРЫЕ ТУАЛЕТЫ. ГОРОД ОМСК СОШ 2 ОЧЕНЬ ХОТИМ ЧТО БЫ НАШИ ДЕТКИ БЫЛИ СЧАСТЛИВЫ;https://www.promonado.ru/domestos-schools/thumb/722FAF9D-9C3C-4AE0-987B-1C96947BC804.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=906
МОСКВА;ОСЕННИЙ БУЛЬВАР ДОМ 8 КОРПУС 3, ШКОЛА 1130 ТУАЛЕТЫ В УДРУЧАЮЩЕМ СОСТОЯНИИ. МОЙ РЕБЕНОК 9 ЛЕТ ТЕРПИТ С УТРА ДО САМЫХ ПОСЛЕДНИХ МИНУТ ЗАНЯТИЙ ДО 2-Х ЧАСОВ ДНЯ, ЧТОБЫ ОКАЗАТЬСЯ ДОМА! ЭТО ПРЕСТУПЛЕНИЕ ПРОТИВ САМЫХ БЕЗЗАЩИТНЫХ ЛЮДЕЙ НА ЗЕМЛЕ.  ЭТО ЖИВОДЕРСТВО, ПОТОМУ ЧТО ТУАЛЕТ В КОШМАРНОМ СОСТОЯНИИ ! ;https://www.promonado.ru/domestos-schools/thumb/709C8855-CCBE-4F84-B465-2805E3D5FED4.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=907
